Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-07-26,Midsommar,2019,https://boxd.it/LM7It,4,,,2019-07-04
2019-07-26,Toy Story 4,2019,https://boxd.it/LM7Ff,3,,,2019-07-11
2019-07-25,Black Mirror: Smithereens,2019,https://boxd.it/LHFfZ,3,,,2019-07-22
2019-07-25,"Black Mirror: Rachel, Jack and Ashley Too",2019,https://boxd.it/LKqYh,2.5,,,2019-07-24
2019-07-26,Long Shot,2019,https://boxd.it/LM5sj,2,,,2019-07-25
2019-08-01,Do the Right Thing,1989,https://boxd.it/M84kR,4,Yes,,2019-07-31
2019-08-05,Locke,2013,https://boxd.it/Mjq7R,3.5,Yes,,2019-08-04
2019-09-07,The Town,2010,https://boxd.it/O2Q23,3.5,,,2019-08-23
2019-09-01,Mary Queen of Scots,2018,https://boxd.it/NKwqj,2.5,,,2019-08-30
2019-09-02,The Souvenir,2019,https://boxd.it/NNfW9,3,,,2019-09-01
2019-09-07,Her Smell,2018,https://boxd.it/O2PXx,3,,,2019-09-06
2019-09-15,Shoplifters,2018,https://boxd.it/Osn7Z,3.5,,,2019-09-14
2019-09-17,Blade Runner 2049,2017,https://boxd.it/OBtt1,4,Yes,,2019-09-16
2019-09-22,First Man,2018,https://boxd.it/OQy41,3.5,Yes,,2019-09-21
2019-09-23,Zero Dark Thirty,2012,https://boxd.it/OSQod,3,Yes,,2019-09-22
2019-10-09,Joker,2019,https://boxd.it/PMne1,3,,,2019-10-08
2019-10-11,Peterloo,2018,https://boxd.it/PRJfl,2.5,,,2019-10-10
2019-10-19,The Art of Self-Defense,2019,https://boxd.it/Ql0bj,3,,,2019-10-18
2019-10-24,The Laundromat,2019,https://boxd.it/QEbmP,3,,,2019-10-22
2019-10-25,Us,2019,https://boxd.it/QHgi5,3.5,,,2019-10-23
2019-10-27,Dunkirk,2017,https://boxd.it/QPuyx,4,Yes,,2019-10-26
2019-11-02,The King,2019,https://boxd.it/RcYBx,3,,,2019-11-01
2019-12-18,Knives Out,2019,https://boxd.it/U2OAV,4,,,2019-11-28
2019-12-18,The Irishman,2019,https://boxd.it/U2Ov7,3.5,,,2019-12-16
2019-12-21,Marriage Story,2019,https://boxd.it/UgNdf,4,,,2019-12-19
2019-12-21,All Is True,2018,https://boxd.it/UgN2h,2.5,,,2019-12-20
2019-12-21,Booksmart,2019,https://boxd.it/UgN5F,3.5,,,2019-12-20
2019-12-23,Paddington 2,2017,https://boxd.it/UtvFB,3.5,Yes,,2019-12-22
2019-12-24,The Two Popes,2019,https://boxd.it/UuFMf,3,,,2019-12-23
2019-12-29,Little Women,2019,https://boxd.it/V0ghv,3.5,,,2019-12-28
2019-12-30,Ad Astra,2019,https://boxd.it/V3kHj,3,,,2019-12-29
2019-12-30,A Private War,2018,https://boxd.it/V3kUd,3,,,2019-12-29
2019-12-30,John Mulaney & The Sack Lunch Bunch,2019,https://boxd.it/V3l6N,2,,,2019-12-29
2019-12-31,The Happy Prince,2018,https://boxd.it/V6AcR,2,,,2019-12-30
2019-12-31,The Talented Mr. Ripley,1999,https://boxd.it/V7ROZ,4,Yes,,2019-12-30
2019-12-31,Pawn Sacrifice,2014,https://boxd.it/V9MXB,2.5,,,2019-12-30
2020-01-01,Klaus,2019,https://boxd.it/Vdyvh,3,,,2019-12-31
2020-01-01,Jojo Rabbit,2019,https://boxd.it/VeQmf,3,,,2019-12-31
2020-01-04,Parasite,2019,https://boxd.it/Vz4vl,4.5,,,2020-01-02
2020-01-05,Hustlers,2019,https://boxd.it/VGfWB,2.5,,,2020-01-04
2020-01-12,Star Wars: The Rise of Skywalker,2019,https://boxd.it/WiB7B,3,,,2020-01-08
2020-01-13,1917,2019,https://boxd.it/Wu029,4,,,2020-01-12
2020-01-22,Won't You Be My Neighbor?,2018,https://boxd.it/XmUNt,4,Yes,,2020-01-19
2020-01-31,Honey Boy,2019,https://boxd.it/Y3VGf,3,,,2020-01-30
2020-01-31,Withnail & I,1987,https://boxd.it/Y4dph,3,,,2020-01-30
2020-02-05,The Lighthouse,2019,https://boxd.it/Yxl1v,3.5,,,2020-02-04
2020-02-10,Uncut Gems,2019,https://boxd.it/YWT57,4,,,2020-02-09
2020-02-15,The Farewell,2019,https://boxd.it/ZoibX,3,,,2020-02-14
2020-02-18,Horse Girl,2020,https://boxd.it/ZIoYV,2.5,,,2020-02-17
2020-02-25,A Beautiful Day in the Neighborhood,2019,https://boxd.it/10k6kJ,3,,,2020-02-24
2020-03-22,Bombshell,2019,https://boxd.it/12njWb,2.5,,,2020-03-02
2020-03-22,"Happy New Year, Colin Burstead",2018,https://boxd.it/12nk9p,3,,,2020-03-16
2020-03-22,Honeyland,2019,https://boxd.it/12nkbv,4,,,2020-03-16
2020-03-22,Volver,2006,https://boxd.it/12nkep,3,,,2020-03-18
2020-03-22,Life of Brian,1979,https://boxd.it/12vcBh,3.5,,,2020-03-22
2020-03-30,Watchmen,2019,https://boxd.it/13k1SX,3,,,2020-03-28
2020-03-30,"Tiger King: Murder, Mayhem and Madness",2020,https://boxd.it/13k1Vd,2.5,,,2020-03-29
2020-04-02,Emma.,2020,https://boxd.it/13MUkH,2.5,,,2020-04-01
2020-04-04,Dangerous Liaisons,1988,https://boxd.it/13WU5d,3,,,2020-04-03
2020-04-07,Captain Fantastic,2016,https://boxd.it/14l0db,3,,,2020-04-05
2020-04-10,Portrait of a Lady on Fire,2019,https://boxd.it/14GLXd,4,,,2020-04-09
2020-04-14,The Lickerish Quartet,1970,https://boxd.it/15lefT,1.5,,,2020-04-13
2020-04-15,Wittgenstein,1993,https://boxd.it/15lLjz,3.5,,,2020-04-14
2020-04-15,The Street,2019,https://boxd.it/15sBCZ,3,,,2020-04-14
2020-04-17,Listen Up Philip,2014,https://boxd.it/15AyTf,2.5,,,2020-04-15
2020-04-17,Quiz,2020,https://boxd.it/15GdcB,2.5,,,2020-04-16
2020-04-18,Who You Think I Am,2019,https://boxd.it/15KA4N,3,,,2020-04-17
2020-04-26,Moffie,2019,https://boxd.it/16IYSn,3,,,2020-04-25
2020-04-28,Extraction,2020,https://boxd.it/170qoz,3,,,2020-04-27
2020-04-29,Mistress America,2015,https://boxd.it/175cyl,4,,,2020-04-28
2020-05-04,Short Term 12,2013,https://boxd.it/17MxvN,3.5,,,2020-05-03
2020-05-05,Friends with Money,2006,https://boxd.it/17QF15,4,,,2020-05-04
2020-05-06,Heaven Knows What,2014,https://boxd.it/17ZO9P,4,,,2020-05-05
2020-05-11,The Assistant,2019,https://boxd.it/18BbGB,3.5,,,2020-05-10
2020-05-11,The Man from U.N.C.L.E.,2015,https://boxd.it/18BtoP,3,Yes,,2020-05-10
2020-05-12,Princess Mononoke,1997,https://boxd.it/18JeMj,4,,,2020-05-11
2020-05-14,Mother,2009,https://boxd.it/18WfxF,3.5,,,2020-05-13
2020-05-22,The Dark Knight Rises,2012,https://boxd.it/19RbvT,3,Yes,,2020-05-21
2020-05-23,If Beale Street Could Talk,2018,https://boxd.it/1a13iH,4.5,,,2020-05-22
2020-05-24,Bohemian Rhapsody,2018,https://boxd.it/1a5c8z,2.5,,,2020-05-23
2020-05-29,The Lovebirds,2020,https://boxd.it/1aFGTR,2.5,,,2020-05-28
2020-06-02,Queen & Slim,2019,https://boxd.it/1b5Tvb,3.5,,,2020-06-01
2020-06-03,13th,2016,https://boxd.it/1bcjpF,3,,,2020-06-02
2020-06-05,Malcolm X,1992,https://boxd.it/1brB2J,4,,,2020-06-04
2020-06-07,The Black Power Mixtape 1967-1975,2011,https://boxd.it/1bAK0b,4.5,,,2020-06-06
2020-06-16,Training Day,2001,https://boxd.it/1cDRBX,3.5,,,2020-06-14
2020-06-16,Prisoners,2013,https://boxd.it/1cDRy5,4,,,2020-06-15
2020-06-16,Moneyball,2011,https://boxd.it/1cEkXj,3.5,Yes,,2020-06-16
2020-06-17,The Martian,2015,https://boxd.it/1cEDa1,3,Yes,,2020-06-16
2020-06-29,The Personal History of David Copperfield,2019,https://boxd.it/1dVvvX,3,,,2020-06-24
2020-06-29,mid90s,2018,https://boxd.it/1dVLnl,3.5,,,2020-06-29
2020-06-30,Only God Forgives,2013,https://boxd.it/1dW3oB,3,,,2020-06-29
2020-07-07,Da 5 Bloods,2020,https://boxd.it/1eG2kl,3.5,,,2020-07-06
2020-07-09,Hamilton,2020,https://boxd.it/1eWPVR,4,,,2020-07-08
2020-07-11,Kingdom,2019,https://boxd.it/1f9ByP,3,,,2020-07-11
2020-07-12,The Old Guard,2020,https://boxd.it/1fhNvp,2,,,2020-07-12
2020-07-13,I May Destroy You,2020,https://boxd.it/1fiBHP,3.5,,,2020-07-12
2020-07-14,Palm Springs,2020,https://boxd.it/1fvQrj,3,,,2020-07-14
2020-07-15,The Other Guys,2010,https://boxd.it/1fC3vl,1,,,2020-07-15
2020-07-18,Primal Fear,1996,https://boxd.it/1fP2f3,2.5,,,2020-07-16
2020-07-18,Blue Ruin,2013,https://boxd.it/1fPstZ,3,,,2020-07-17
2020-07-18,Green Room,2015,https://boxd.it/1fQhSr,3,,,2020-07-17
2020-07-27,Mary Poppins Returns,2018,https://boxd.it/1gKoZB,1.5,,,2020-07-26
2020-07-27,The Aristocats,1970,https://boxd.it/1gKpbd,3,,,2020-07-26
2020-07-30,Master and Commander: The Far Side of the World,2003,https://boxd.it/1h5aet,3.5,,,2020-07-29
2020-08-01,Inherent Vice,2014,https://boxd.it/1hhvhx,4,,,2020-07-31
2020-08-01,The American,2010,https://boxd.it/1hiN6z,2,,,2020-07-31
2020-08-06,Porco Rosso,1992,https://boxd.it/1hP8kh,4,,,2020-08-05
2020-08-07,Searching for Sugar Man,2012,https://boxd.it/1hVbVx,3,,,2020-08-06
2020-08-10,Deep Impact,1998,https://boxd.it/1id3af,3,,,2020-08-08
2020-08-10,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/1id3hF,4.5,Yes,,2020-08-09
2020-08-14,The Lord of the Rings: The Two Towers,2002,https://boxd.it/1iD4Fl,4,Yes,,2020-08-11
2020-08-14,The Lord of the Rings: The Return of the King,2003,https://boxd.it/1iD4Jx,4,Yes,,2020-08-12
2020-08-25,Rent,2005,https://boxd.it/1jNZpX,2,,,2020-08-24
2020-08-25,Strictly Ballroom,1992,https://boxd.it/1jO08X,3,,,2020-08-24
2020-09-07,Mulan,2020,https://boxd.it/1laIib,3,,,2020-09-05
2020-09-07,Treasure Planet,2002,https://boxd.it/1laITr,3,Yes,,2020-09-05
2020-09-07,The Half of It,2020,https://boxd.it/1lbVqz,3,,,2020-09-06
2020-09-09,The King of Staten Island,2020,https://boxd.it/1lokx5,2.5,,,2020-09-08
2020-09-13,Boys State,2020,https://boxd.it/1lP2kr,3,,,2020-09-12
2020-09-13,Shrek 2,2004,https://boxd.it/1lP2DD,2.5,Yes,,2020-09-13
2020-09-15,La luna,2011,https://boxd.it/1m2XXL,3,,,2020-09-14
2020-09-15,Lou,2017,https://boxd.it/1m2Ybt,2.5,,,2020-09-14
2020-09-15,Piper,2016,https://boxd.it/1m2YuZ,3.5,,,2020-09-14
2020-09-15,The Blue Umbrella,2013,https://boxd.it/1m2YEF,2.5,,,2020-09-14
2020-09-15,Lava,2014,https://boxd.it/1m2YLr,1.5,,,2020-09-14
2020-09-15,Presto,2008,https://boxd.it/1m2YVV,2,,,2020-09-14
2020-09-15,Bao,2018,https://boxd.it/1m2Z15,3.5,,,2020-09-14
2020-09-17,13 Hours: The Secret Soldiers of Benghazi,2016,https://boxd.it/1mcQTR,1.5,,,2020-09-16
2020-09-24,Tenet,2020,https://boxd.it/1mZKcv,2.5,,,2020-09-17
2020-09-21,Bacurau,2019,https://boxd.it/1mEtW5,4,,,2020-09-20
2020-09-27,Knives Out,2019,https://boxd.it/1nfoQP,3,Yes,,2020-09-27
2020-09-29,Four Weddings and a Funeral,1994,https://boxd.it/1nq7l3,2.5,Yes,,2020-09-27
2020-10-07,Onward,2020,https://boxd.it/1oiotr,3,,,2020-10-06
2020-10-07,Ratatouille,2007,https://boxd.it/1oiYbj,3.5,Yes,,2020-10-06
2020-10-09,Greyhound,2020,https://boxd.it/1oup21,2,,,2020-10-08
2020-10-09,Official Secrets,2019,https://boxd.it/1ov7vL,3,,,2020-10-08
2020-10-09,Ocean's Eight,2018,https://boxd.it/1ovLtb,2,Yes,,2020-10-09
2020-10-16,Titanic,1997,https://boxd.it/1peyiT,4.5,Yes,,2020-10-15
2020-10-19,A Single Man,2009,https://boxd.it/1pzmip,4,,,2020-10-18
2020-10-23,The Trial of the Chicago 7,2020,https://boxd.it/1q0apd,3,,,2020-10-22
2020-10-25,The Devil All the Time,2020,https://boxd.it/1qe0El,2.5,,,2020-10-24
2020-10-26,Borat Subsequent Moviefilm,2020,https://boxd.it/1qkUAL,2.5,,,2020-10-24
2020-10-26,On the Rocks,2020,https://boxd.it/1qkUG5,3,,,2020-10-25
2020-10-26,A Very Murray Christmas,2015,https://boxd.it/1qlcpr,3,,,2020-10-25
2020-11-19,Somewhere,2010,https://boxd.it/1sTlpB,2.5,,,2020-10-25
2020-10-29,Rebecca,1940,https://boxd.it/1qK3FZ,3.5,,,2020-10-28
2020-10-30,Game Night,2018,https://boxd.it/1qPPnf,2,,,2020-10-28
2020-10-30,Twelve Monkeys,1995,https://boxd.it/1qPQ3b,3.5,,,2020-10-29
2020-11-01,21 Bridges,2019,https://boxd.it/1r21Dj,2,,,2020-10-31
2020-11-01,Ronin,1998,https://boxd.it/1r21Jr,3.5,,,2020-10-31
2020-11-01,Tinker Tailor Soldier Spy,2011,https://boxd.it/1r21SN,4.5,Yes,,2020-10-31
2020-11-07,Rocks,2019,https://boxd.it/1rKg6R,4,,,2020-11-07
2020-11-10,Sorry We Missed You,2019,https://boxd.it/1s2ElH,3.5,,,2020-11-09
2020-11-10,The Wind Rises,2013,https://boxd.it/1s36Hr,4,,,2020-11-09
2020-11-14,Burning,2018,https://boxd.it/1spjZn,4,,,2020-11-13
2020-11-14,My Octopus Teacher,2020,https://boxd.it/1spRDv,2.5,,,2020-11-13
2020-11-15,Shirley,2020,https://boxd.it/1svhNr,3.5,,,2020-11-14
2020-11-19,Some Like It Hot,1959,https://boxd.it/1sV53j,3.5,,,2020-11-18
2020-11-21,Rams,2015,https://boxd.it/1t6Zep,3,,,2020-11-20
2020-11-22,High Society,1956,https://boxd.it/1tePmp,4,Yes,,2020-11-22
2020-11-22,Klaus,2019,https://boxd.it/1tePqL,3,Yes,,2020-11-22
2020-11-22,Notting Hill,1999,https://boxd.it/1tePAV,4,Yes,,2020-11-22
2020-12-03,The Holiday,2006,https://boxd.it/1ut9Hp,3,Yes,,2020-12-02
2020-12-04,About Time,2013,https://boxd.it/1uC0Yf,4,,,2020-12-02
2020-12-05,Mank,2020,https://boxd.it/1uG8jH,2,,,2020-12-05
2020-12-06,Home Alone,1990,https://boxd.it/1uLIHZ,2.5,Yes,,2020-12-05
2020-12-07,'71,2014,https://boxd.it/1uWyx3,3.5,,,2020-12-06
2020-12-21,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/1wujIn,3,Yes,,2020-12-18
2020-12-21,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/1wujhB,2.5,Yes,,2020-12-19
2020-12-21,Bait,2019,https://boxd.it/1wuiPd,4,,,2020-12-20
2020-12-25,Lovers Rock,2020,https://boxd.it/1wX9Nb,4.5,,,2020-12-23
2020-12-27,Prospect,2018,https://boxd.it/1xsh2f,3.5,,,2020-12-27
2020-12-31,"Red, White and Blue",2020,https://boxd.it/1xZOLD,3.5,,,2020-12-28
2020-12-31,The Midnight Sky,2020,https://boxd.it/1xZOPv,2.5,,,2020-12-28
2021-01-06,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/1z99hh,3.5,Yes,,2021-01-02
2021-01-04,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/1ySc8D,3.5,Yes,,2021-01-03
2021-01-05,Harry Potter and the Goblet of Fire,2005,https://boxd.it/1z98VP,3,Yes,,2021-01-03
2021-01-06,An American Pickle,2020,https://boxd.it/1z9axv,2.5,,,2021-01-05
2021-01-06,Happiest Season,2020,https://boxd.it/1zaUcP,2,,,2021-01-05
2021-01-06,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1zhEyz,3.5,Yes,,2021-01-05
2021-01-07,Sound of Metal,2019,https://boxd.it/1zm4hx,5,,,2021-01-06
2021-01-30,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1CHStH,2.5,Yes,,2021-01-06
2021-01-09,First Cow,2019,https://boxd.it/1zCMI5,4.5,,,2021-01-08
2021-01-16,Saint Frances,2019,https://boxd.it/1AIxh5,3.5,,,2021-01-15
2021-01-23,Minari,2020,https://boxd.it/1BMm3X,4,,,2021-01-22
2021-01-30,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/1CHSxp,4.5,Yes,,2021-01-24
2021-01-30,The Lord of the Rings: The Two Towers,2002,https://boxd.it/1CHSz1,4,Yes,,2021-01-28
2021-01-30,Black Bear,2020,https://boxd.it/1CHSAX,4,,,2021-01-29
2021-01-30,Only the Animals,2019,https://boxd.it/1CLyuX,4,,,2021-01-29
2021-04-08,Dark Waters,2019,https://boxd.it/1MeXJd,3.5,,,2021-02-01
2021-02-04,Soul,2020,https://boxd.it/1Dvmqh,3.5,,,2021-02-02
2021-02-06,The Big Short,2015,https://boxd.it/1DR4mb,4,,,2021-02-06
2021-02-09,Margin Call,2011,https://boxd.it/1Eg61J,4,,,2021-02-06
2021-02-09,The Dig,2021,https://boxd.it/1Eg5OZ,2.5,,,2021-02-07
2021-02-12,Synchronic,2019,https://boxd.it/1Eztmj,3,,,2021-02-11
2021-02-12,News of the World,2020,https://boxd.it/1EBb6r,2.5,,,2021-02-11
2021-02-20,Tag,2018,https://boxd.it/1FLOD9,3,,,2021-02-16
2021-02-20,Parasite,2019,https://boxd.it/1FLOMF,4.5,Yes,,2021-02-18
2021-02-22,I Care a Lot,2020,https://boxd.it/1G7oX7,3,,,2021-02-20
2021-02-22,The Wolf of Wall Street,2013,https://boxd.it/1G7q9N,4,,,2021-02-21
2021-02-22,Frances Ha,2012,https://boxd.it/1G7qrR,4,,,2021-02-21
2021-02-25,Starship Troopers,1997,https://boxd.it/1GwXmP,4.5,,,2021-02-24
2021-02-26,The Little Things,2021,https://boxd.it/1GDwur,3.5,,,2021-02-25
2021-02-26,War Dogs,2016,https://boxd.it/1GEgXT,3,,,2021-02-25
2021-02-26,Captain Marvel,2019,https://boxd.it/1GEPpH,1.5,,,2021-02-25
2021-03-01,The Report,2019,https://boxd.it/1H40UB,3,,,2021-02-28
2021-03-01,Funny Games,2007,https://boxd.it/1H40Zr,3,,,2021-02-28
2021-03-08,Our Kind of Traitor,2016,https://boxd.it/1I0jGf,2.5,,,2021-03-07
2021-04-09,Ms .45,1981,https://boxd.it/1MmT1R,3.5,,,2021-03-07
2021-03-13,Murder Among the Mormons,2021,https://boxd.it/1ICMlr,2,,,2021-03-12
2021-03-13,Spartan,2004,https://boxd.it/1ICNJ5,2.5,,,2021-03-12
2021-03-14,Argo,2012,https://boxd.it/1IQs7H,3.5,Yes,,2021-03-13
2021-03-14,Vanilla Sky,2001,https://boxd.it/1IQWzV,2.5,,,2021-03-14
2021-03-15,Raya and the Last Dragon,2021,https://boxd.it/1IRMQz,2,,,2021-03-14
2021-03-15,The Mauritanian,2021,https://boxd.it/1ISAFB,3.5,,,2021-03-14
2021-03-20,Over the Moon,2020,https://boxd.it/1Jyq6P,2.5,,,2021-03-17
2021-03-20,Derek DelGaudio's In & of Itself,2020,https://boxd.it/1JyZGj,3.5,,,2021-03-19
2021-03-28,The Core,2003,https://boxd.it/1KF1GV,2,,,2021-03-27
2021-03-28,Murder on the Orient Express,2017,https://boxd.it/1KGqSz,1.5,,,2021-03-27
2021-03-31,Widows,2018,https://boxd.it/1L6Ex3,3.5,Yes,,2021-03-30
2021-04-08,Hard Eight,1996,https://boxd.it/1MeXzd,3.5,,,2021-04-01
2021-04-04,Nomadland,2020,https://boxd.it/1LCxmB,3,,,2021-04-02
2021-04-04,Kiss Kiss Bang Bang,2005,https://boxd.it/1LCxpP,4,,,2021-04-02
2021-04-05,Good Time,2017,https://boxd.it/1LXeP7,4,Yes,,2021-04-04
2021-04-05,Seaspiracy,2021,https://boxd.it/1LXeRR,1.5,,,2021-04-05
2021-04-08,Donnie Brasco,1997,https://boxd.it/1MeY6h,3.5,,,2021-04-06
2021-04-09,Shiva Baby,2020,https://boxd.it/1MqTBD,3.5,,,2021-04-08
2021-04-10,Bad Trip,2021,https://boxd.it/1My3Mv,2,,,2021-04-09
2021-04-11,Possessor,2020,https://boxd.it/1MO80N,3.5,,,2021-04-11
2021-04-12,American History X,1998,https://boxd.it/1MPcq3,3.5,,,2021-04-11
2021-04-12,They Live,1988,https://boxd.it/1MPSIt,2.5,,,2021-04-11
2021-04-12,Train to Busan,2016,https://boxd.it/1MQPrB,3,,,2021-04-11
2021-04-12,The Climb,2019,https://boxd.it/1MRRoB,4,,,2021-04-11
2021-04-16,Page Eight,2011,https://boxd.it/1NorBl,3.5,,,2021-04-15
2021-04-19,Turks & Caicos,2014,https://boxd.it/1NZEUT,3.5,,,2021-04-15
2021-04-19,Salting the Battlefield,2014,https://boxd.it/1NZEXD,3,,,2021-04-15
2021-05-12,Victoria,2015,https://boxd.it/1RaAkL,5,,,2021-04-16
2021-04-22,Son of Saul,2015,https://boxd.it/1OiAzZ,4.5,,,2021-04-21
2021-04-23,Love and Monsters,2020,https://boxd.it/1Oohn3,,,,2021-04-22
2021-04-23,His House,2020,https://boxd.it/1Oqaq9,3,,,2021-04-22
2021-04-23,Stowaway,2021,https://boxd.it/1OqU49,2.5,,,2021-04-22
2021-04-26,Homunculus,2021,https://boxd.it/1OToxr,1,,,2021-04-25
2021-04-29,The Equalizer,2014,https://boxd.it/1Ponfj,3.5,,,2021-04-28
2021-04-29,The Long Goodbye,1973,https://boxd.it/1Ponhz,3.5,,,2021-04-28
2021-04-30,Only the Animals,2019,https://boxd.it/1PwdIr,4,Yes,,2021-04-29
2021-05-04,Tom Clancy's Without Remorse,2021,https://boxd.it/1Q8arX,2.5,,,2021-05-03
2021-05-04,Run,2020,https://boxd.it/1Q8aud,2,,,2021-05-03
2021-05-08,My Neighbor Totoro,1988,https://boxd.it/1QCBZH,4,,,2021-05-04
2021-05-08,Nashville,1975,https://boxd.it/1QCBS7,3.5,,,2021-05-07
2021-05-10,Hunger,2008,https://boxd.it/1QMDBR,4,,,2021-05-09
2021-05-12,Castle in the Sky,1986,https://boxd.it/1RaAhH,4,,,2021-05-10
2021-05-12,Victoria,2015,https://boxd.it/1RaAn1,5,Yes,,2021-05-11
2021-05-20,The Mitchells vs. The Machines,2021,https://boxd.it/1Sevsn,2,,,2021-05-19
2021-05-25,I Am Cuba,1964,https://boxd.it/1SPNVL,4.5,,,2021-05-21
2021-05-25,Tripping with Nils Frahm,2020,https://boxd.it/1SPO99,4.5,Yes,,2021-05-23
2021-05-25,The Hummingbird Project,2018,https://boxd.it/1SPOcR,2.5,,,2021-05-24
2021-06-07,Bo Burnham: Inside,2021,https://boxd.it/1Uy5td,3.5,,,2021-06-06
2021-06-07,Piercing,2018,https://boxd.it/1UzTsV,3,,,2021-06-06
2021-06-10,Badlands,1973,https://boxd.it/1UZ3dV,3,,,2021-06-09
2021-06-19,Atlantis,2019,https://boxd.it/1W2DkX,3.5,,,2021-06-18
2021-06-19,Bad Day for the Cut,2017,https://boxd.it/1W3cSF,3,,,2021-06-18
2021-06-22,Luca,2021,https://boxd.it/1WsKct,2,,,2021-06-20
2021-06-22,It's Only the End of the World,2016,https://boxd.it/1WsKgl,3,,,2021-06-20
2021-06-22,"Crazy, Stupid, Love.",2011,https://boxd.it/1WsKjT,3,,,2021-06-21
2021-06-22,Saint Maud,2019,https://boxd.it/1WsKpR,2.5,,,2021-06-21
2021-06-24,A Most Violent Year,2014,https://boxd.it/1WKaql,3,,,2021-06-23
2021-06-25,"People, Places, Things",2015,https://boxd.it/1WOh6b,3,,,2021-06-24
2021-06-26,The King of Comedy,1982,https://boxd.it/1WVnhD,3,,,2021-06-25
2021-06-26,Cold War,2018,https://boxd.it/1WVXVz,,,,2021-06-25
2021-06-26,The Lives of Others,2006,https://boxd.it/1WWDal,3.5,,,2021-06-25
2021-06-29,Dog Day Afternoon,1975,https://boxd.it/1XnHbB,3.5,,,2021-06-28
2021-07-07,Souvenir,2019,https://boxd.it/1YthkX,3,,,2021-07-06
