Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-08-11,Bullet Train,2022,https://boxd.it/37n8ID,2.5,,,2022-08-10
2022-08-11,Crimes of the Future,2022,https://boxd.it/37n8Pp,3,,,2022-08-10
2022-08-13,The Guard,2011,https://boxd.it/37RORd,3,,,2022-08-13
2022-08-13,Fantastic Beasts: The Secrets of Dumbledore,2022,https://boxd.it/37S1VH,1,,,2022-08-13
2022-08-13,Punch-Drunk Love,2002,https://boxd.it/37SsVz,2,,,2022-08-13
2022-08-14,Bad Luck Banging or Loony Porn,2021,https://boxd.it/37Up2Z,3,,,2022-08-13
2022-08-14,Apocalypse Now,1979,https://boxd.it/37X1i1,3.5,,,2022-08-13
2022-08-16,Whisper of the Heart,1995,https://boxd.it/38wTR5,3,,,2022-08-15
2022-08-21,Nope,2022,https://boxd.it/39lw8t,3.5,,,2022-08-20
2022-08-22,Local Hero,1983,https://boxd.it/39BtWH,3.5,,,2022-08-21
2022-08-23,Persuasion,2022,https://boxd.it/39Ptoj,2.5,,,2022-08-22
2022-08-26,Ambulance,2022,https://boxd.it/3aqoXd,2.5,,,2022-08-25
2022-09-14,His Girl Friday,1940,https://boxd.it/3dU4Yd,3,,,2022-09-13
2022-09-15,RRR,2022,https://boxd.it/3e9bvn,3.5,Yes,,2022-09-14
2022-09-20,Thor: Love and Thunder,2022,https://boxd.it/3eYZwd,1,,,2022-09-19
2022-09-20,Blue Velvet,1986,https://boxd.it/3eZutJ,,,,2022-09-19
2022-09-20,Disobedience,2017,https://boxd.it/3f1Rk5,3,,,2022-09-19
2022-09-24,Coherence,2013,https://boxd.it/3fKPOn,3,,,2022-09-23
2022-09-25,Pom Poko,1994,https://boxd.it/3fWbbJ,3,,,2022-09-24
2022-09-25,Bringing Up Baby,1938,https://boxd.it/3fXwcb,3,,,2022-09-24
2022-09-30,25th Hour,2002,https://boxd.it/3gVrZR,,,,2022-09-29
2022-09-30,Ponyo,2008,https://boxd.it/3gWGtj,,,,2022-09-29
2022-10-06,Emily the Criminal,2022,https://boxd.it/3ig3rn,3,,,2022-10-05
2022-10-07,The Hudsucker Proxy,1994,https://boxd.it/3irhaR,3.5,,,2022-10-06
2022-10-12,The Outfit,2022,https://boxd.it/3jxzIX,2,,,2022-10-11
2022-10-13,The Ipcress File,1965,https://boxd.it/3jJmzR,2.5,,,2022-10-12
2022-10-15,The Souvenir,2019,https://boxd.it/3kfFu1,4,Yes,,2022-10-13
2022-10-15,The Worst Person in the World,2021,https://boxd.it/3kfEQ1,3.5,,,2022-10-14
2022-10-16,The Souvenir: Part II,2021,https://boxd.it/3kn0Qr,3,,,2022-10-15
2022-10-18,The Godfather,1972,https://boxd.it/3kYoK7,,,,2022-10-17
2022-10-18,The Godfather: Part II,1974,https://boxd.it/3kYoLJ,,,,2022-10-18
2022-10-23,Dazed and Confused,1993,https://boxd.it/3lObbd,3.5,,,2022-10-22
2022-10-23,Kicking and Screaming,1995,https://boxd.it/3lOboL,3.5,,,2022-10-22
2022-10-24,Tripping with Nils Frahm,2020,https://boxd.it/3lZQPP,4.5,Yes,,2022-10-23
2022-10-24,Not Okay,2022,https://boxd.it/3m1KYP,2.5,,,2022-10-23
2022-10-24,Rififi,1955,https://boxd.it/3m43gB,4,,,2022-10-23
2022-10-25,State and Main,2000,https://boxd.it/3mihQh,3,,,2022-10-24
2022-10-26,Triple Frontier,2019,https://boxd.it/3mtu93,,,,2022-10-25
2022-10-26,The Favourite,2018,https://boxd.it/3mv3HB,4,,,2022-10-25
2022-10-27,Dual,2022,https://boxd.it/3mDHMR,2.5,,,2022-10-26
2022-10-27,Cha Cha Real Smooth,2022,https://boxd.it/3mO6xH,3.5,,,2022-10-26
2022-10-29,Christiane F.,1981,https://boxd.it/3n2RnH,3,,,2022-10-28
2022-10-30,The Commuter,2018,https://boxd.it/3nea6R,2,,,2022-10-29
2022-10-30,X,2022,https://boxd.it/3neXf9,3,,,2022-10-29
